Year,Entity,Continent,Eólica,Solar,Geotérmica
2002,Portugal,Europe,0.19,0.001,14.0
2002,Romania,Europe,0.0,0.0,
2002,Russia,Europe,0.007,0.0,70.0
2002,Slovakia,Europe,,0.0,
2002,South & Central America,South America,,,417.0
2002,South Africa,Africa,0.00316,0.0,
2002,South America,South America,0.049948,6.2e-05,
2002,South Korea,Asia,0.013,0.005,
2002,Spain,Europe,4.891,0.017,
2002,Sweden,Europe,0.357,0.003,
2002,Switzerland,Europe,,0.02,
2002,Taiwan,Asia,0.0085399999999999,0.00033,
2002,Thailand,Asia,0.0,0.0,
2002,Tunisia,Africa,0.01065,,
2002,Turkey,Europe,0.019,0.0006,18.0
2002,Ukraine,Europe,0.04623,0.0,
2002,United Kingdom,Europe,0.534,0.004,
2002,United States,North America,4.417,0.255,2252.0
2002,Uruguay,South America,0.00015,,
2002,Vietnam,Asia,,0.000236,
2002,World,World,30.733412,1.437059,8109.0
2003,Africa,Africa,0.15361,0.018019001,65.3
2003,Algeria,Africa,,0.0,
2003,Argentina,South America,0.025729,2.6e-05,
2003,Asia,Asia,3.601465,0.95082,
2003,Australia,Oceania,0.19,0.039,
2003,Austria,Europe,0.322,0.023,
2003,Belgium,Europe,0.067,0.001,
2003,Brazil,South America,0.024,0.000716,
2003,Bulgaria,Europe,0.0,0.0,
2003,Canada,North America,0.327,0.012,
2003,Chile,South America,0.002,0.0,0.0
2003,China,Asia,0.547,0.0665999999999999,21.7
2003,Costa Rica,North America,0.0686,,162.7
2003,Croatia,Europe,,,0.0
2003,Czechia,Europe,,0.0003,
2003,Denmark,Europe,3.1199160000000004,0.002,
2003,Egypt,Africa,0.074,0.0006,
2003,El Salvador,North America,,,161.2
2003,Ethiopia,Africa,,,7.3
2003,Europe,Europe,28.160846000000003,0.623771,940.0
2003,Finland,Europe,0.052,,
2003,France,Europe,0.218,0.009,0.0
2003,Germany,Europe,14.381,0.435,0.0
2003,Greece,Europe,0.371,0.001,
2003,Guatemala,North America,,,29.0
2003,Honduras,North America,,0.002128,0.0
2003,Hungary,Europe,,0.0,
2003,Iceland,Europe,,,202.0
2003,India,Asia,2.461,0.007885,
2003,Indonesia,Asia,,,805.0
2003,Iran,Asia,0.016,,
2003,Ireland,Europe,0.2103,,
2003,Israel,Asia,,0.0,
2003,Italy,Europe,0.874,0.026,707.0
2003,Japan,Asia,0.508,0.86,535.0
2003,Jordan,Asia,0.0014,1.5e-05,
2003,Kenya,Africa,,,58.0
2003,Malaysia,Asia,,0.0,
2003,Mexico,North America,0.018,0.016,960.0
2003,Morocco,Africa,0.054,0.0084,
2003,Netherlands,Europe,0.905,0.046,
2003,New Zealand,Oceania,0.072,,378.0
2003,Nicaragua,North America,,,77.5
2003,North America,North America,6.408600000000001,0.3231279999999999,3093.0
2003,Norway,Europe,0.097,,
2003,Oceania,Oceania,0.262,0.039,
2003,Other South & Central America,South America,,,4.600000000000023
2003,Pakistan,Asia,0.0,0.0,
2003,Papua New Guinea,Oceania,,,6.0
2003,Philippines,Asia,0.0,0.0,1846.5
2003,Poland,Europe,0.035,0.0,
2003,Portugal,Europe,0.268,0.002,14.0
2003,Romania,Europe,0.0,0.0,
2003,Russia,Europe,0.009,0.0,70.0
2003,Slovakia,Europe,,0.0,
2003,South & Central America,South America,,,435.0
2003,South Africa,Africa,0.00316,0.0,
2003,South America,South America,0.051879,0.00074200004,
2003,South Korea,Asia,0.019,0.006,
2003,Spain,Europe,5.945,0.022,
2003,Sweden,Europe,0.417,0.004,
2003,Switzerland,Europe,,0.022,
2003,Taiwan,Asia,0.0085399999999999,0.00045,
2003,Thailand,Asia,0.0,0.0,
2003,Tunisia,Africa,0.01937,,
2003,Turkey,Europe,0.019,0.001,15.0
2003,Ukraine,Europe,0.0544,0.0,
2003,United Kingdom,Europe,0.742,0.006,
2003,United States,North America,5.995,0.293,2133.0
2003,Uruguay,South America,0.00015,,
2003,Vietnam,Asia,,0.000406,
2003,World,World,38.670547,1.96503,8195.9
2004,Africa,Africa,0.23613,0.0219959999999999,135.3
2004,Algeria,Africa,,0.0,
2004,Argentina,South America,0.027829,2.6e-05,
2004,Asia,Asia,5.46147,1.241006,
2004,Australia,Oceania,0.379,0.046,
2004,Austria,Europe,0.581,0.027,
2004,Belgium,Europe,0.096,0.001,
2004,Brazil,South America,0.024,0.000718,
2004,Bulgaria,Europe,0.001,0.0,
2004,Canada,North America,0.444,0.014,
2004,Chile,South America,0.002,0.0,0.0
2004,China,Asia,0.763,0.0766,21.7
2004,Costa Rica,North America,0.0686,,165.7
2004,Croatia,Europe,,,0.0
2004,Czechia,Europe,,0.0004,
2004,Denmark,Europe,3.1237120000000003,0.002,
2004,Egypt,Africa,0.15,0.0006,
2004,El Salvador,North America,,,151.2
2004,Ethiopia,Africa,,,7.3
2004,Europe,Europe,34.328266000000006,1.335364,875.2
2004,Finland,Europe,0.082,,
2004,France,Europe,0.358,0.011,0.0
2004,Germany,Europe,16.419,1.105,0.2
2004,Greece,Europe,0.47,0.001,
2004,Guatemala,North America,,,29.0
2004,Honduras,North America,,0.002376,0.0
2004,Hungary,Europe,,0.0,
2004,Iceland,Europe,,,202.0
2004,India,Asia,3.813,0.00781,
2004,Indonesia,Asia,,,820.0
2004,Iran,Asia,0.0249,,
2004,Ireland,Europe,0.3364,,
2004,Israel,Asia,,0.0,
2004,Italy,Europe,1.127,0.031,642.0
2004,Japan,Asia,0.769,1.132,535.0
2004,Jordan,Asia,0.0014,1.5e-05,
2004,Kenya,Africa,,,128.0
2004,Malaysia,Asia,,0.0,
2004,Mexico,North America,0.018,0.016,960.0
2004,Morocco,Africa,0.054,0.0091,
2004,Netherlands,Europe,1.075,0.05,
2004,New Zealand,Oceania,0.166,,378.0
2004,Nicaragua,North America,,,77.5
2004,North America,North America,6.9866,0.395376,3112.0
2004,Norway,Europe,0.152,,
2004,Oceania,Oceania,0.545,0.046,
2004,Other South & Central America,South America,,,4.600000000000023
2004,Pakistan,Asia,0.0,0.0,
2004,Papua New Guinea,Oceania,,,6.0
2004,Philippines,Asia,0.0,0.002,1846.5
2004,Poland,Europe,0.04,0.0,
2004,Portugal,Europe,0.553,0.002,14.0
2004,Romania,Europe,0.0,0.0,
2004,Russia,Europe,0.009,0.0,56.0
2004,Slovakia,Europe,,0.0,
2004,South & Central America,South America,,,428.0
2004,South Africa,Africa,0.00316,0.0,
2004,South America,South America,0.053979,0.000744,
2004,South Korea,Asia,0.029,0.009,
2004,Spain,Europe,8.317,0.033,
2004,Sweden,Europe,0.475,0.004,
2004,Switzerland,Europe,,0.024,
2004,Taiwan,Asia,0.0085399999999999,0.00057,
2004,Thailand,Asia,0.0,0.0,
2004,Tunisia,Africa,0.01937,,
2004,Turkey,Europe,0.019,0.0015,15.0
2004,Ukraine,Europe,0.0714,0.0,
2004,United Kingdom,Europe,0.933,0.008,
2004,United States,North America,6.456,0.363,2152.0
2004,Uruguay,South America,0.00015,,
2004,Vietnam,Asia,,0.000747,
2004,World,World,47.68539,3.051979,8214.1
2005,Africa,Africa,0.2402,0.025965,135.3
2005,Algeria,Africa,,0.0,
2005,Argentina,South America,0.027829,2.6e-05,
2005,Asia,Asia,6.972510000000001,1.6106339,
2005,Australia,Oceania,0.74,0.052,
2005,Austria,Europe,0.825219,0.021018,
2005,Belgium,Europe,0.167,0.002,
2005,Brazil,South America,0.029,0.000718,
2005,Bulgaria,Europe,0.008,0.0,
2005,Canada,North America,0.677,0.018,
2005,Chile,South America,0.002,0.0,0.0
2005,China,Asia,1.06,0.1412,21.7
2005,Costa Rica,North America,0.0686,,165.7
2005,Croatia,Europe,,,0.0
2005,Czechia,Europe,,0.0005859999999999,
2005,Denmark,Europe,3.127836,0.003,
2005,Egypt,Africa,0.15,0.0006,
2005,El Salvador,North America,,,151.2
2005,Ethiopia,Africa,,,7.3
2005,Europe,Europe,40.69319,2.315507,933.1
2005,Finland,Europe,0.082,,
2005,France,Europe,0.6900000000000001,0.013,0.0
2005,Germany,Europe,18.248,2.056,0.2
2005,Greece,Europe,0.491,0.001,
2005,Guatemala,North America,,,29.0
2005,Honduras,North America,,0.002668,0.0
2005,Hungary,Europe,,0.0,
2005,Iceland,Europe,,,232.0
2005,India,Asia,4.4339,0.011567,
2005,Indonesia,Asia,,,850.0
2005,Iran,Asia,0.037,,
2005,Ireland,Europe,0.4933,,
2005,Israel,Asia,,0.001,
2005,Italy,Europe,1.635,0.034,671.0
2005,Japan,Asia,1.227,1.422,535.0
